Site,Camera,Position,Date,Model,Weather,Min_Temp,Wind_Speed,Rainfall,Moon_Phase,Individual,Species,Size,Sex,Joey,Total,First,Last,V_low,V_mid,V_high,V_toward,V_away,L_towards,L_away,L_across,<5m,5-10m,10-15m,>15m,Grazing,Social,Fighting,Grooming,Investigating,Sniffing,At_Other,Out,Pref_Dist,Pref_Dist2,T_loc,,,,,,,,
Q2,QC7,Back,21/4/2024,Goat,,1.5,4,0,0.8942,1002,Wallaby,L,M,,9,01:06:51,01:07:29,0,0,0,0,0,0,0.111111111,0.111111111,0,1,0,0,1,0,0,0,0,0,0,0,5-10m,0,0.222222222,,,,,,,,
Q2,QC7,Back,21/4/2024,Fox,,0.7,2,0,0.9453,1003,Wallaby,M,,,72,22:07:03,22:33:51,0.111111111,0.180555556,0,0.25,0.041666667,0.013888889,0.027777778,0.041666667,0.972222222,0.027777778,0,0,0.666666667,0,0,0.013888889,0.25,0,0,0,<5m,0,0.083333333,,,,,,,,
Q2,QC7,Back,21/4/2024,Fox,,0.7,2,0,0.9453,1004,Wallaby,M,,,51,22:44:17,22:49:42,0,0,0,0,0,0.039215686,0,0.156862745,1,0,0,0,0.941176471,0,0,0,0,0,0,0,<5m,0,0.196078431,,,,,,,,
Q2,QC7,Back,23/4/2024,Thylacine,,6.8,17,0,0.9982,1005,Wallaby,M,,,18,23:10:34,23:12:20,0,0.166666667,0,0,0.166666667,0,0,0.055555556,1,0,0,0,0.166666667,0,0,0,0,0,0,0.611111111,<5m,0,0.055555556,,,,,,,,
Q2,QC7,Back,25/4/2024,Fox,,2,0,0,0.976,1006,Unknown,,,,9,21:03:25,21:04:29,0,0,0,0,0,0,0,0.222222222,1,0,0,0,0.666666667,0,0,0,0,0,0,0.222222222,<5m,0,0.222222222,,,,,,,,
Q2,QC7,Back,26/4/2024,Fox,,2,0,0,0.976,1007,Possum,M,,,6,02:38:08,02:38:13,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,10-15m,1,1,,,,,,,,
Q2,QC7,Back,26/4/2024,Fox,,2,0,0,0.976,1008,Wallaby,M,,,3,04:33:50,04:33:52,0.333333333,0,0,0.333333333,0,0.333333333,0,0,0,1,0,0,0.666666667,0,0,0,0.333333333,0,0,0,5-10m,0,0.333333333,,,,,,,,
Q2,QC7,Back,26/4/2024,Fox,,2,0,0,0.976,1009,Wallaby,M,,,34,05:17:24,05:17:56,0.058823529,0.470588235,0,0.352941176,0.176470588,0.117647059,0,0.088235294,1,0,0,0,0,0,0,0,0.294117647,0.058823529,0,0.205882353,<5m,0,0.205882353,,,,,,,,
Q2,QC7,Back,26/4/2024,Fox,,2,0,0,0.976,1010,Wallaby,M,,,11,05:56:38,05:56:55,0,0,0,0,0,0.181818182,0,0.272727273,1,0,0,0,0.727272727,0,0,0,0,0,0,0,<5m,0,0.454545455,,,,,,,,
Q2,QC7,Back,26/4/2024,Fox,,2,0,0,0.976,1011,Wallaby,M,,,12,05:56:37,05:56:55,0,0.916666667,0,0.666666667,0.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.083333333,>15m,1,0,,,,,,,,
